School,NCAA Tournament?,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Abilene Christian,N,30,13,17,0.433,-2.8,0.9,5,11,9,5,4,8,2249,2133,1210,727,1526,0.476,188,517,0.364,491,687,0.715,240,1008,374,167,98,530,573
Air Force,N,32,14,18,0.438,2,2.12,5,13,10,9,4,9,2142,2146,1295,764,1718,0.445,166,566,0.293,452,604,0.748,293,1036,323,183,99,352,545
Akron,N,33,22,11,0.667,4.25,-1.59,13,5,15,1,5,6,2463,2209,1330,802,1873,0.428,229,669,0.342,376,512,0.734,296,1081,370,190,99,407,608
Alabama A&M,Y,33,15,18,0.455,-10.78,-7.71,10,8,9,8,5,8,2297,2340,1336,781,1842,0.424,251,735,0.341,527,743,0.709,399,1179,420,258,115,510,581
Alabama ,N,37,31,6,0.838,23.18,9.64,16,2,15,0,9,3,3027,2526,1510,885,2387,0.371,202,715,0.283,554,779,0.711,452,1383,364,268,142,434,737
Alabama State,N,31,8,23,0.258,-16.33,-6.3,6,12,5,5,2,18,1963,2252,1245,801,1839,0.436,216,635,0.34,434,632,0.687,375,1184,367,218,153,379,513
Albany (NY),N,31,8,23,0.258,-14.36,-4.53,3,13,5,6,2,16,2086,2332,1245,836,1704,0.491,201,571,0.352,459,630,0.729,256,1040,450,203,111,364,507
Alcorn State,N,32,18,14,0.563,-8.76,-5.82,15,3,7,2,10,10,2165,2259,1301,778,1741,0.447,233,707,0.33,470,683,0.688,322,1077,458,183,109,463,565
American,N,32,17,15,0.531,-8.25,-7.72,7,11,8,6,9,9,2093,2110,1300,754,1665,0.453,216,561,0.385,386,534,0.723,275,931,394,264,75,390,486
Appalachian State,N,32,16,16,0.5,-1.5,-0.98,9,9,10,7,6,7,2248,2067,1290,753,1870,0.403,235,729,0.322,326,456,0.715,322,1152,378,192,76,399,512
Arizona ,Y,35,28,7,0.8,19.08,8.34,14,6,15,2,6,4,2866,2490,1400,905,2216,0.408,277,858,0.323,403,565,0.713,360,1163,443,276,122,431,671
Arizona State ,Y,36,23,13,0.639,11.29,8.17,11,9,10,5,7,6,2559,2447,1455,836,2096,0.399,279,818,0.341,496,702,0.707,423,1382,458,219,107,505,652
Arkansas ,Y,36,22,14,0.611,15.98,9.87,8,10,14,3,2,8,2666,2446,1445,847,1996,0.424,189,608,0.311,563,788,0.714,348,1189,382,241,103,519,681
Arkansas State,N,33,13,20,0.394,-8.08,-3.32,4,14,10,8,2,11,2169,2232,1325,778,1776,0.438,219,596,0.367,457,615,0.743,298,1093,378,199,112,382,549
Arkansas-Pine Bluff,N,31,10,21,0.323,-13.01,-5.38,6,12,8,5,2,16,2074,2162,1250,738,1689,0.437,197,603,0.327,489,695,0.704,287,1127,437,262,105,497,523
Army,N,33,17,16,0.515,-7.13,-7.58,10,8,10,5,7,8,2412,2322,1330,852,1909,0.446,243,733,0.332,375,539,0.696,262,1002,448,227,102,356,533
Auburn ,Y,34,21,13,0.618,14.34,9.28,10,8,14,2,4,8,2474,2302,1365,788,1935,0.407,192,667,0.288,534,752,0.71,401,1211,380,238,118,442,610
