School,Games,W,L,Simple Rating System,SOS,Pts,PA,Minutes,FG,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,TRB,AST,STL,BLK,TO,Fouls,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
Alabama,34,29,5,23.81,10.14,2794,2329,1390,944,2115,0.446,342,1012,0.338,564,777,0.726,434,1508,517,206,172,479,633,814,2189,0.372,188,670,0.281,513,718,0.714,408,1259,340,248,126,403,683
Arizona,34,28,6,19.95,8.77,2811,2431,1360,999,2015,0.496,292,765,0.382,521,735,0.709,349,1339,652,208,109,455,579,879,2152,0.408,273,833,0.328,400,560,0.714,351,1125,434,268,116,420,656
Arizona State,34,22,12,10.98,8.36,2391,2302,1375,850,2056,0.413,255,813,0.314,436,633,0.689,385,1253,484,247,159,402,630,789,1982,0.398,260,774,0.336,464,661,0.702,404,1319,425,210,103,489,614
Arkansas,33,20,13,16.62,9.58,2456,2224,1325,893,1879,0.475,168,530,0.317,502,728,0.69,331,1162,443,277,173,426,631,772,1840,0.42,169,553,0.306,511,716,0.714,327,1083,341,219,91,473,620
Auburn,32,20,12,14.93,9.28,2327,2146,1285,826,1875,0.441,208,663,0.314,467,665,0.702,375,1159,454,256,164,399,615,735,1807,0.407,178,618,0.288,498,706,0.705,370,1122,358,230,104,427,567
Baylor,32,22,10,18.05,11.14,2469,2248,1285,823,1843,0.447,310,834,0.372,513,685,0.749,373,1097,464,213,76,394,556,815,1798,0.453,219,680,0.322,399,564,0.707,327,1029,492,201,94,432,593
Boise State,33,24,9,13.58,6.55,2384,2123,1335,852,1873,0.455,259,710,0.365,421,573,0.735,287,1174,370,169,97,370,538,776,1880,0.413,215,696,0.309,356,510,0.698,275,1063,355,169,109,394,553
Colgate,34,26,8,2.21,-6.7,2672,2345,1360,1017,1980,0.514,283,694,0.408,355,540,0.657,270,1155,631,237,97,346,427,906,1998,0.453,257,730,0.352,276,402,0.687,276,1069,491,202,104,419,502
College of Charleston,34,31,3,8.45,-4.52,2747,2290,1370,941,2146,0.438,343,1027,0.334,522,704,0.741,464,1377,469,250,107,408,572,875,2029,0.431,201,655,0.307,339,499,0.679,311,1149,398,193,122,468,622
Connecticut,32,24,8,20.87,7.44,2518,2087,1280,886,1925,0.46,289,805,0.359,457,609,0.75,432,1248,555,209,156,415,581,716,1740,0.411,156,516,0.302,499,676,0.738,290,954,294,213,94,426,557
Creighton,33,21,12,17.67,9.51,2529,2260,1330,908,1943,0.467,294,817,0.36,419,546,0.767,279,1227,525,173,138,384,434,875,2074,0.422,211,618,0.341,299,410,0.729,288,1103,412,204,94,330,523
Drake,34,27,7,8.33,-1.13,2561,2173,1390,930,1977,0.47,271,727,0.373,430,559,0.769,276,1215,463,183,89,356,503,794,1945,0.408,227,742,0.306,358,512,0.699,269,1105,348,178,79,412,575
Duke,34,26,8,15.59,7,2466,2174,1365,884,1959,0.451,233,693,0.336,465,604,0.77,413,1316,503,194,153,409,517,802,1959,0.409,209,688,0.304,361,472,0.765,314,1041,384,209,122,373,569
Fairleigh Dickinson,34,19,15,-11.41,-11.72,2646,2547,1375,971,2133,0.455,275,795,0.346,429,575,0.746,398,1162,509,273,66,391,647,898,1875,0.479,272,746,0.365,479,644,0.744,304,1137,503,194,132,530,538
Florida Atlantic,34,31,3,13.38,0.5,2679,2209,1370,960,2034,0.472,332,893,0.372,427,596,0.716,358,1315,497,231,84,400,539,798,1983,0.402,218,684,0.319,395,529,0.747,304,1113,264,193,79,436,568
Furman,34,27,7,5.1,-3.91,2791,2421,1375,978,2023,0.483,324,934,0.347,511,690,0.741,337,1207,581,231,109,379,570,884,1982,0.446,234,701,0.334,419,594,0.705,319,1124,387,195,89,452,586
Gonzaga,33,28,5,20.13,7.51,2888,2406,1325,1076,2035,0.529,256,661,0.387,480,685,0.701,336,1204,547,252,110,349,554,877,1975,0.444,270,779,0.347,382,520,0.735,297,1036,396,174,74,459,627
Grand Canyon,35,24,11,4.61,0.98,2636,2339,1410,905,1953,0.463,314,819,0.383,512,715,0.716,357,1292,441,172,115,423,632,833,2056,0.405,213,679,0.314,460,657,0.7,385,1172,361,195,88,375,627
Houston,34,31,3,23.3,4.77,2551,1921,1360,936,2028,0.462,264,766,0.345,415,577,0.719,435,1319,504,283,162,338,563,638,1751,0.364,213,766,0.278,432,626,0.69,333,1071,342,185,83,485,549
