Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,32,15,17,0.469,-3.81,-1.17,10,10,8,6,5,9,2320,2351,1295,833,1792,0.465,188,565,0.333,497,723,0.687,312,1171,388,206,108,478,617
2,Air Force,31,9,22,0.29,-4.33,1.87,2,16,4,12,5,8,2051,2243,1250,774,1631,0.475,219,598,0.366,476,637,0.747,297,1016,386,178,96,348,495
3,Akron,34,24,10,0.706,3.02,-2.52,13,5,13,1,7,6,2517,2239,1365,827,1939,0.427,214,721,0.297,371,541,0.686,304,1096,380,205,83,390,587
4,Alabama,32,21,11,0.656,21.12,11.43,13,5,14,2,5,5,2904,2594,1290,884,2008,0.44,235,737,0.319,591,795,0.743,368,1125,399,237,139,374,641
5,Alabama A&M,33,11,22,0.333,-14.67,-7.58,9,9,7,5,3,14,2267,2501,1325,801,1877,0.427,247,693,0.356,652,870,0.749,388,1191,435,311,112,474,669
6,Alabama State,32,13,19,0.406,-11.74,-6.87,8,10,7,5,3,13,2195,2221,1303,721,1751,0.412,245,726,0.337,534,736,0.726,317,1260,385,196,152,468,514
7,Albany (NY),32,13,19,0.406,-6.46,-5.08,5,11,8,5,5,13,2517,2521,1285,907,1944,0.467,167,576,0.29,540,744,0.726,323,1152,420,235,149,415,499
8,Alcorn State,32,14,18,0.438,-11.59,-5.62,13,5,7,3,7,14,2300,2477,1285,841,1818,0.463,311,828,0.376,484,666,0.727,316,1028,500,203,129,378,572
9,American,32,16,16,0.5,-8.75,-8.59,10,8,8,7,8,9,2200,2176,1291,776,1706,0.455,272,733,0.371,352,508,0.693,255,979,403,160,78,345,515
10,Appalachian State,33,27,6,0.818,6.42,-2.58,16,2,15,0,8,4,2589,2196,1350,837,2167,0.386,220,714,0.308,302,441,0.685,383,1197,340,231,78,347,543
11,Arizona,33,25,8,0.758,25.35,9.65,15,5,15,1,7,4,2902,2384,1345,872,2062,0.423,263,787,0.334,377,530,0.711,292,1058,459,232,124,446,634
12,Arizona State,32,14,18,0.438,4.88,9.85,8,12,10,5,3,8,2209,2368,1285,850,1887,0.45,251,740,0.339,417,589,0.708,338,1298,490,186,85,439,535
13,Arkansas,33,16,17,0.485,6.38,8.41,6,12,12,6,2,7,2566,2633,1340,909,2039,0.446,236,696,0.339,579,796,0.727,366,1200,428,213,96,365,685
14,Arkansas State,34,18,16,0.529,0.52,-1.07,11,7,10,3,5,11,2677,2623,1365,934,2048,0.456,197,556,0.354,558,732,0.762,346,1204,380,242,144,337,562
15,Arkansas-Pine Bluff,31,13,18,0.419,-15.62,-7.66,8,10,8,6,5,12,2483,2536,1240,915,2011,0.455,234,768,0.305,472,657,0.718,374,1188,510,222,104,362,561
16,Army,32,10,22,0.313,-14.44,-8.71,6,12,6,11,4,11,1930,2059,1295,734,1712,0.429,221,679,0.325,370,526,0.703,266,1086,413,224,95,348,478
17,Auburn,33,26,7,0.788,23,7.82,13,5,15,1,5,5,2747,2246,1320,736,1911,0.385,195,645,0.302,579,786,0.737,381,1137,316,215,105,427,629
18,Austin Peay,34,19,15,0.559,-5.24,-4.24,10,6,14,2,4,12,2548,2480,1385,879,1909,0.46,229,704,0.325,493,697,0.707,348,1194,412,145,113,383,540
19,Ball State,31,15,16,0.484,-6.47,-5.71,7,11,9,7,6,8,2280,2200,1255,811,1821,0.445,220,643,0.342,358,505,0.709,298,1044,383,196,95,369,591
20,Baylor,33,23,10,0.697,20.22,11.41,11,7,15,2,4,5,2658,2350,1350,855,1883,0.454,227,673,0.337,413,565,0.731,296,967,452,230,113,395,632
21,Bellarmine,31,8,23,0.258,-11.42,-2.1,4,12,6,7,2,16,2153,2320,1250,818,1813,0.451,279,800,0.349,405,551,0.735,298,1135,416,145,94,315,423
22,Belmont,33,20,13,0.606,2.92,1.58,12,8,12,2,6,9,2570,2493,1325,914,2067,0.442,269,827,0.325,396,549,0.721,337,1194,492,222,97,398,541
23,Bethune-Cookman,33,17,16,0.515,-12.16,-9.1,11,7,11,2,5,11,2394,2381,1335,776,1812,0.428,222,657,0.338,607,849,0.715,364,1172,456,281,94,547,593
24,Binghamton,30,15,15,0.5,-9.12,-5.05,7,9,10,4,5,11,2163,2167,1210,754,1790,0.421,233,691,0.337,426,585,0.728,275,999,327,203,132,281,513
25,Boise State,32,22,10,0.688,13.84,7.44,13,5,13,3,7,3,2426,2161,1290,775,1770,0.438,204,656,0.311,407,565,0.72,236,953,374,185,120,365,563
26,Boston College,34,19,15,0.559,9.45,6.98,8,12,10,6,6,6,2535,2451,1370,881,2008,0.439,263,760,0.346,426,570,0.747,321,1172,451,214,111,373,519
27,Boston University,33,16,17,0.485,-9.72,-8.29,10,8,9,7,7,10,2193,2198,1335,758,1777,0.427,247,718,0.344,433,630,0.687,253,1099,381,215,97,376,520
