School,Nickname,Home arena,Conference,Tournament appearances,Final Four appearances,Championship wins
Abilene Christian,Wildcats,Moody Coliseum,WAC,"(2) 2019, 2021",0,0
Alabama A&M,Bulldogs,Alabama A&M Events Center,SWAC,(1) 2005,0,0
Alabama State,Hornets,Dunn–Oliver Acadome,SWAC,"(4) 2001, 2004, 2009, 2011",0,0
Alcorn State,Braves,Davey Whitney Complex,SWAC,"(6) 1980, 1982, 1983, 1984, 1999, 2002",0,0
American,Eagles,Bender Arena,Patriot League,"(3) 2008, 2009, 2014",0,0
Appalachian State,Mountaineers,George M. Holmes Convocation Center,Sun Belt,"(3) 1979, 2000, 2021",0,0
Arizona State,Sun Devils,Desert Financial Arena,Pac-12,"(17) 1958, 1961, 1962, 1963, 1964, 1973, 1975, 1980, 1981, 1991, 1995, 2003, 2009, 2014, 2018, 2019, 2023",0,0
Arkansas State,Red Wolves,Convocation Center,Sun Belt,(1) 1999,0,0
Auburn,Tigers,Auburn Arena,SEC,"(12) 1984, 1985, 1986, 1987, 1988, 1999, 2000, 2003, 2018, 2019, 2022, 2023",(1) 2019,0
Austin Peay,Governors,F&M Bank Arena,ASUN,"(7) 1973, 1974, 1987, 1996, 2003, 2008, 2016",0,0
Ball State,Cardinals,John E. Worthen Arena,MAC,"(7) 1981, 1986, 1989, 1990, 1993, 1995, 2000",0,0
Baylor,Bears,Ferrell Center,Big 12,"(15) 1946, 1948, 1950, 1988, 2008, 2010, 2012, 2014, 2015, 2016, 2017, 2019, 2021, 2022, 2023","(3) 1948, 1950, 2021",(1) 2021
Bellarmine,Knights,Freedom Hall,ASUN,0,0,0
Belmont,Bruins,Curb Event Center,Missouri Valley,"(8) 2006, 2007, 2008, 2011, 2012, 2013, 2015, 2019",0,0
Bethune-Cookman,Wildcats,Moore Gymnasium,SWAC,0,0,0
Binghamton,Bearcats,Binghamton University Events Center,America East,(1) 2009,0,0
Boise State,Broncos,ExtraMile Arena,Mountain West,"(9) 1976, 1988, 1993, 1994, 2008, 2013, 2015, 2022, 2023",0,0
Boston College,Eagles,Conte Forum,ACC,"(18) 1958, 1967, 1968, 1975, 1981, 1982, 1983, 1985, 1994, 1996, 1997, 2001, 2002, 2004, 2005, 2006, 2007, 2009",0,0
Boston University,Terriers,Case Gym,Patriot League,"(7) 1959, 1983, 1988, 1990, 1997, 2002, 2011",0,0
Bowling Green State,Falcons,Stroh Center,MAC,"(4) 1959, 1962, 1963, 1968",0,0
Bradley,Braves,Carver Arena,Missouri Valley,"(9) 1950, 1954, 1955, 1980, 1986, 1988, 1996, 2006, 2019","(2) 1950, 1954",0
