School,Team eFG%,DRB%,ORB%,TOV%,FT%,Opp eFG%,TOV%_opp,FT%_opp,SRS,teams_in_conf,Result_value,predicted_result,result_diff,predicted_result_rank
Houston,0.5229232864275988,0.7232610321615557,0.3711824588880188,0.1296953211536574,0.733,0.42679772374547337,0.1844668688754083,0.689,22.2,9,2.0,1.93017578125,0.06982421875,13.0
Connecticut,0.5394342048864124,0.7399135446685879,0.3843821076573162,0.15956299407428085,0.761,0.4442890442890443,0.1646406625701309,0.735,22.95,5,32.0,31.892333984375,0.107666015625,1.0
Tennessee,0.4988078206962327,0.7314741035856573,0.3642072213500785,0.15333058215815462,0.708,0.42849604221635884,0.1952229534866524,0.719,20.83,8,2.0,2.07342529296875,0.07342529296875,12.0
UCLA,0.5106904231625835,0.7175141242937854,0.330173775671406,0.1285053203280869,0.731,0.4678714859437751,0.2062090248446322,0.697,22.11,4,2.0,2.293701171875,0.293701171875,10.0
Alabama,0.5211754537597234,0.7209876543209877,0.3420494699646643,0.16004401210332841,0.725,0.41307080016757436,0.13717854704528787,0.711,23.18,8,2.0,2.4083251953125,0.4083251953125,9.0
Florida Atlantic,0.54664660361135,0.7503429355281207,0.31551596139569416,0.14901391660403762,0.719,0.45938864628820963,0.15841545028192022,0.735,13.85,2,8.0,7.8011474609375,0.1988525390625,4.0
Iona,0.5163934426229508,0.6925566343042071,0.3157467532467532,0.13228276070877606,0.732,0.462667994026879,0.18059484999497352,0.705,7.62,1,0.0,-0.63983154296875,0.63983154296875,62.0
Gonzaga,0.5817265556529361,0.7483044461190655,0.3139344262295082,0.13159115919547087,0.693,0.5102404274265361,0.16360643451727738,0.733,18.99,2,4.0,4.0745849609375,0.0745849609375,8.0
Kent State,0.5143327067669173,0.7027687296416938,0.3102893890675241,0.14140351874484838,0.726,0.46770833333333334,0.19808458319552494,0.721,7.59,1,0.0,0.4630126953125,0.4630126953125,39.0
Oral Roberts,0.5582698341550874,0.7259865971705137,0.25405844155844154,0.11745301879248302,0.774,0.4841413683733575,0.15618857752569215,0.717,8.55,1,0.0,0.27154541015625,0.27154541015625,41.0
College of Charleston,0.5145322434150772,0.746422893481717,0.35171385991058124,0.14226784474425824,0.744,0.48033573141486813,0.17248289484984683,0.677,8.4,1,0.0,-0.8477783203125,0.8477783203125,66.0
Saint Mary's (CA),0.5222848360655737,0.7813911472448057,0.32860938883968116,0.14346153846153847,0.694,0.46982281284606864,0.17555444603714024,0.743,17.41,2,1.0,1.62298583984375,0.62298583984375,16.0
Arizona,0.5649131274131274,0.7391304347826086,0.3071613459879206,0.16326644525690046,0.708,0.4708935018050541,0.14884652576322696,0.713,19.08,4,0.0,-0.20965576171875,0.20965576171875,54.0
Drake,0.5369094488188977,0.7776,0.2425828970331588,0.1388951794314356,0.767,0.46351824087956023,0.1582682967173426,0.704,7.85,1,0.0,-0.07843017578125,0.07843017578125,50.0
Texas,0.5329838357361293,0.7099236641221374,0.28306264501160094,0.14461911475971484,0.748,0.4812382739212008,0.1955075968666211,0.732,20.55,9,4.0,4.27337646484375,0.27337646484375,6.0
Purdue,0.5183367768595041,0.7649006622516556,0.3835860838537021,0.1469251741896395,0.744,0.4715909090909091,0.1368376350681829,0.738,18.23,7,0.0,-0.30999755859375,0.30999755859375,56.0
Marquette,0.5597976080956761,0.6828665568369028,0.26241721854304634,0.13694159050916727,0.718,0.5096758587324625,0.1964243869491502,0.703,17.07,5,1.0,0.472900390625,0.527099609375,38.0
Memphis,0.5302958015267175,0.6737160120845922,0.31217838765008576,0.1615961687520762,0.747,0.467123935666982,0.17909662448395888,0.739,14.5,2,0.0,-0.663818359375,0.663818359375,63.0
Grand Canyon,0.542368681863231,0.706973293768546,0.30847457627118646,0.15547713401405802,0.716,0.46070075757575757,0.13839023901818026,0.703,4.42,1,0.0,0.144775390625,0.144775390625,44.0
Virginia Commonwealth,0.5195500803427959,0.700418410041841,0.28851291184327693,0.17485914124732854,0.696,0.46899632159747767,0.20910406948689078,0.704,9.9,1,0.0,0.10546875,0.10546875,46.0
Louisiana,0.5423427991886409,0.7409948542024014,0.3396396396396396,0.15348768400029586,0.682,0.4930555555555556,0.16147774776270316,0.703,4.26,1,0.0,1.78118896484375,1.78118896484375,14.0
Furman,0.5570690465007045,0.7293835068054444,0.28841413311421527,0.1394999086398583,0.741,0.5052531041069723,0.16542306067858653,0.71,4.88,1,1.0,1.0699462890625,0.0699462890625,27.0
Kansas,0.5263772175536882,0.7128787878787879,0.2872253864930838,0.15485707110869293,0.72,0.46980504041844984,0.17723418313969494,0.725,19.19,9,1.0,1.60986328125,0.60986328125,17.0
Duke,0.5108590733590733,0.7401696222050886,0.35910224438902744,0.15557476231633535,0.766,0.4603174603174603,0.14551977729147128,0.763,15.84,5,1.0,0.238037109375,0.761962890625,43.0
Colgate,0.5814524043179587,0.7582139848357203,0.2547945205479452,0.13540370786175926,0.661,0.5214007782101168,0.16189476840053965,0.688,2.21,1,0.0,-0.615478515625,0.615478515625,60.0
Utah State,0.5617721518987342,0.7568218298555377,0.2727272727272727,0.157817524413556,0.763,0.48199513381995135,0.14277513651952486,0.745,14.22,4,0.0,-0.01409912109375,0.01409912109375,48.0
Boise State,0.5214138286893705,0.761744966442953,0.2743521000893655,0.1471684632350657,0.733,0.47258147956544233,0.15625487078774275,0.703,12.78,4,0.0,-0.75860595703125,0.75860595703125,65.0
TCU,0.49976503759398494,0.6949429037520392,0.32185748598879105,0.14530213063220399,0.699,0.4813542688910697,0.18934071492805754,0.706,15.6,9,1.0,-0.69268798828125,1.69268798828125,64.0
Illinois,0.513617677286742,0.7325581395348837,0.3157894736842105,0.15982112039857738,0.679,0.46664943123061015,0.1637704617639873,0.705,14.82,7,0.0,0.91705322265625,0.91705322265625,29.0
Arkansas,0.5092098885118759,0.7209302325581395,0.30724876441515653,0.15917147424758463,0.698,0.4716933867735471,0.18135946214164905,0.714,15.98,8,2.0,-0.0650634765625,2.0650634765625,49.0
San Diego State,0.49822301199466906,0.7415730337078652,0.3188622754491018,0.14930895060912766,0.722,0.4657502329916123,0.17181778433623,0.752,15.81,4,16.0,15.59039306640625,0.40960693359375,2.0
NC State,0.5146721687299404,0.7386070507308684,0.3041074249605055,0.11664188026710991,0.722,0.49792853443811497,0.1682227584036447,0.738,12.5,5,0.0,0.65325927734375,0.65325927734375,34.0
Kansas State,0.5232837253960634,0.696875,0.2988215488215488,0.17104937762756572,0.748,0.48091787439613526,0.18392352045256743,0.698,15.78,9,4.0,4.51849365234375,0.51849365234375,5.0
Texas A&M,0.48835403726708076,0.6957585644371941,0.36739864864864863,0.15660965589580725,0.759,0.48232848232848236,0.18098009957598948,0.706,13.75,8,0.0,-0.52130126953125,0.52130126953125,59.0
Iowa State,0.4992029755579171,0.7346733668341708,0.3389830508474576,0.16811023622047244,0.67,0.49874843554443055,0.22461001777134207,0.725,15.36,9,0.0,0.25201416015625,0.25201416015625,42.0
Kentucky,0.506356968215159,0.749351771823682,0.3920265780730897,0.14639573695613983,0.706,0.48626231207879733,0.14793823286024324,0.744,14.75,8,1.0,0.84954833984375,0.15045166015625,30.0
Auburn,0.4949773982923154,0.6755663430420712,0.3283582089552239,0.15203149328711185,0.696,0.4568475452196382,0.16322732174247012,0.71,14.34,8,1.0,1.248779296875,0.248779296875,24.0
Indiana,0.5352250489236791,0.7102446483180428,0.2813321647677476,0.14829132975270023,0.711,0.47192898272552786,0.14227287282042325,0.704,14.96,7,1.0,0.81939697265625,0.18060302734375,31.0
Virginia,0.511614730878187,0.7511870845204178,0.25609756097560976,0.12172381643012534,0.703,0.48281887012230634,0.17379079555647553,0.748,13.28,5,0.0,-0.62939453125,0.62939453125,61.0
Kennesaw State,0.5314200890648194,0.7400990099009901,0.2785123966942149,0.15650242326332794,0.661,0.4943791517629024,0.18148164215579946,0.688,0.6,1,0.0,0.41510009765625,0.41510009765625,40.0
