Season,Id,Name,Position,Team,Conference,CountablePlays,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns
2014,3123969,Ito Smith,RB,Southern Mississippi,Sun Belt,122,-0.124,0.168,-0.158,-0.246,0.019,0.153,-0.233,0.159,-15.084,2.181,-17.265,-14.753,0.81,2.915,-20.488,5.403
2014,500803,Reggie Pegram,RB,North Texas,American Athletic,119,-0.11,-0.654,-0.038,-0.253,-0.026,0.13,-0.128,-0.06,-13.134,-9.157,-3.977,-14.165,-1.179,2.209,-11.283,-1.851
2014,545417,Montell Cozart,QB,Kansas,Big 12,177,-0.103,-0.105,-0.096,-0.355,-0.403,0.477,-0.275,0.105,-18.266,-14.315,-3.95,-21.635,-20.971,28.597,-26.665,8.4
2014,549984,Ralph Webb,RB,Vanderbilt,SEC,217,-0.082,-0.354,-0.06,-0.058,-0.126,-0.119,-0.087,-0.055,-17.743,-5.659,-12.084,-7.719,-7.81,-2.371,-15.813,-1.931
2014,546318,Kelvin Taylor,RB,Florida,SEC,111,-0.071,-1.16,-0.019,0.057,-0.295,0.192,-0.054,-0.16,-7.854,-5.802,-2.053,3.429,-11.219,2.116,-4.977,-2.878
2014,512346,Tyler Cain,WR,Louisiana Monroe,Sun Belt,115,-0.066,0.024,-0.152,-0.264,-0.026,0.148,-0.122,0.027,-7.634,1.36,-8.994,-11.873,-1.393,2.367,-8.815,1.181
2014,551182,Dontravious Wilson,RB,UCF,Big 12,105,-0.062,-0.325,-0.014,-0.041,-0.182,0.112,-0.031,-0.173,-6.495,-5.207,-1.288,-1.947,-7.645,1.573,-2.516,-3.979
2014,517805,David Glasco II,RB,UT San Antonio,American Athletic,149,-0.046,-0.45,-0.011,-0.082,0.048,0.053,-0.076,0.22,-6.861,-5.398,-1.462,-7.105,1.868,1.015,-10.153,3.293
2014,3116775,Marshawn Williams,RB,Virginia Tech,ACC,122,-0.046,0.15,-0.051,-0.193,0.129,0.07,-0.079,0.156,-5.633,0.449,-6.082,-12.357,5.82,0.904,-8.282,2.649
2014,3128840,Alex Gardner,RB,Florida International,Conference USA,120,-0.045,-0.155,-0.032,-0.158,-0.158,0.639,-0.053,-0.019,-5.415,-2.018,-3.397,-9.185,-7.093,10.863,-4.867,-0.547
2014,3116757,Prince-Tyson Gulley,RB,Syracuse,ACC,147,-0.039,-0.035,-0.039,-0.073,-0.042,0.125,-0.067,0.051,-5.662,-1.01,-4.652,-6.237,-1.805,2.38,-7.482,1.82
2014,512837,Malcolm Brown,RB,Texas,Big 12,191,-0.035,-0.226,-0.013,-0.122,-0.038,0.509,-0.027,-0.061,-6.6,-4.292,-2.309,-12.709,-2.487,10.175,-4.053,-2.547
2014,514162,Zack Langer,RB,Tulsa,American Athletic,185,-0.033,-0.286,-0.026,-0.07,0.031,0.27,-0.067,0.154,-6.139,-1.429,-4.71,-6.778,1.755,7.29,-10.448,4.309
2014,551187,William Stanback,RB,UCF,Big 12,194,-0.028,0.246,-0.051,-0.043,-0.096,0.269,-0.036,0.027,-5.448,3.685,-9.132,-4.572,-6.353,5.111,-6.129,0.681
2014,503640,D.J. Vinson,RB,UAB,American Athletic,143,-0.028,0.038,-0.037,-0.092,0.095,0.287,-0.057,0.082,-3.979,0.65,-4.63,-6.468,5.046,5.174,-6.447,2.467
2014,3128254,Zander Diamont,QB,Indiana,Big Ten,180,-0.023,-0.123,0.363,-0.157,-0.107,0.22,-0.124,0.072,-4.118,-17.559,13.441,-7.869,-7.055,13.657,-10.773,6.655
2014,550339,Nick Holley,QB,Kent State,Mid-American,162,-0.022,0.038,-0.04,-0.04,-0.091,0.425,-0.042,0.054,-3.49,1.437,-4.927,-3.146,-5.438,6.377,-5.323,1.834
2014,537314,Desmon Peoples,RB,Rutgers,Big Ten,116,-0.022,1.244,-0.128,-0.133,-0.006,0.845,-0.07,0.155,-2.505,11.198,-13.704,-7.955,-0.253,7.606,-6.391,3.886
2014,535604,Akeel Lynch,RB,Penn State,Big Ten,148,-0.021,-0.052,-0.018,-0.118,0.013,0.128,-0.036,0.036,-3.104,-0.73,-2.374,-8.503,0.742,2.436,-4.216,1.112
2014,531069,Johnathan Gray,RB,Texas,Big 12,157,-0.017,-0.069,-0.007,0.074,-0.116,0.128,0.03,-0.152,-2.701,-1.792,-0.91,6.244,-5.673,2.685,3.522,-6.224
2014,518391,Jordan Canzeri,RB,Iowa,Big Ten,106,-0.014,1.22,-0.129,-0.071,-0.124,2.671,-0.086,0.423,-1.489,10.984,-12.473,-4.398,-5.103,8.013,-7.833,6.344
2014,532425,Daz'mond Patterson,RB,Ohio,Mid-American,101,-0.009,0.169,-0.055,-0.093,-0.095,0.298,-0.086,0.158,-0.889,3.539,-4.427,-3.617,-3.784,5.958,-5.943,5.054
2014,501278,DeMarcus Robinson,RB,Kansas State,Big 12,109,-0.008,0.773,-0.095,-0.104,0.011,0.453,-0.052,0.25,-0.85,8.507,-9.357,-6.243,0.409,4.983,-4.851,4.001
2014,550637,Jamal Morrow,RB,Washington State,Pac-12,148,-0.006,0.134,-0.11,-0.035,-0.072,0.24,-0.008,0,-0.903,8.42,-9.323,-2.755,-3.722,3.365,-0.9,-0.003
