player,player_id,position,Season,Draft Class,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,weighted_blocking_grade,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_rg,snap_counts_rt,snap_counts_te,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_run_block
Colby Gossett,46673,G,2015,2018,APP STATE,13,100,0,108,96.8,81.5,97.0,91.0,2,7,308,100,100,98.5,4,9,0,847,0,0,0,407,428,12,847,330,330,517
Brady Christensen,51985,T,2020,2021,BYU,12,100,0,128,95.9,95.2,95.3,95.2,0,2,383,100,100,99.5,5,3,1,741,0,0,740,0,0,1,741,409,409,332
Darrell Greene,11072,G,2015,2016,S DIEGO ST,7,100,0,284,95.9,85.2,94.3,91.9,0,1,118,100,100,99.6,0,1,0,450,0,0,0,450,0,0,450,121,121,329
Penei Sewell,81788,T,2019,2020,OREGON,14,99.9,0,264,95.8,91.1,95.7,93.3,2,5,470,99.8,99.8,99.3,4,7,0,926,0,0,924,0,0,3,927,491,492,435
Christian Darrisaw,77373,T,2020,2021,VA TECH,10,99.9,0,337,95.6,90.8,94.5,92.9,0,6,266,99.6,99.7,98.9,1,6,0,668,0,0,666,0,0,2,669,293,294,375
Joshua Garnett,10662,G,2015,2016,STANFORD,14,100,0,300,95.6,79.7,96.3,89.6,7,4,354,100,100,97.6,4,14,3,936,0,933,0,0,0,3,936,379,379,557
Tyler Linderbaum,82291,C,2021,2022,IOWA,14,100,0,192,95.4,79.8,96.6,88.1,2,4,435,100,100,99.1,0,7,1,908,908,0,0,0,0,0,908,457,457,451
William Dunkle,81815,G,2021,2022,S DIEGO ST,14,100,3,284,95.2,73.3,98.8,86.9,1,9,401,100,100,98.8,8,10,0,920,0,0,0,919,0,0,920,429,429,491
Roscoe Byrd,17461,G,2015,2016,GA SOUTHRN,10,100,0,174,94.9,91.1,92.5,92.2,0,0,108,100,100,100,1,0,0,591,0,35,0,556,0,0,591,122,122,469
Max Mitchell,81707,T,2021,2022,LA LAFAYET,13,100,0,207,94.8,82.5,95.0,88.9,1,9,410,100,100,98,0,13,3,879,0,0,17,0,859,2,879,430,430,449
