Season,Id,Name,Position,Team,Conference,CountablePlays,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns
2023,4360247,Dante Lang,TE,Florida,SEC,1,-3.718,-3.718,0,0,0,0,-3.718,0,-3.718,-3.718,0,0,0,0,-3.718,0
2023,4578417,Shawn Charles,WR,Arizona State,Pac-12,1,-2.142,-2.142,0,0,-2.142,0,0,-2.142,-2.142,-2.142,0,0,-2.142,0,0,-2.142
2023,4899472,Chris Culliver,WR,North Carolina,ACC,1,-1.799,0,-1.799,0,-1.799,0,0,-1.799,-1.799,0,-1.799,0,-1.799,0,0,-1.799
2023,4426939,Jayden Clemons,QB,Wyoming,Mountain West,1,-1.58,0,-1.58,-1.58,0,0,-1.58,0,-1.58,0,-1.58,-1.58,0,0,-1.58,0
2023,4826528,Caleb Merritt,WR,Wyoming,Mountain West,2,-1.537,0.66,-3.734,0.66,0,0,-1.537,0,-3.074,0.66,-3.734,0.66,0,0,-3.074,0
2023,5121607,Ke'Marion Baldwin,RB,James Madison,Sun Belt,3,-1.352,0,-1.352,0,0.168,-0.396,-2.112,0.168,-4.056,0,-4.056,0,0.168,-0.396,-4.224,0.168
2023,4868720,Markel Fortenberry,WR,Liberty,Conference USA,1,-1.256,-1.256,0,0,0,0,0,-1.256,-1.256,-1.256,0,0,0,0,0,-1.256
2023,4430954,Lukas Ungar,TE,Stanford,Pac-12,1,-1.196,-1.196,0,0,-1.196,0,-1.196,0,-1.196,-1.196,0,0,-1.196,0,-1.196,0
2023,5081107,Luke Lindenmeyer,TE,Nebraska,Big Ten,1,-1.164,0,-1.164,0,0,-1.164,0,-1.164,-1.164,0,-1.164,0,0,-1.164,0,-1.164
2023,5085135,Kendin Alexander,WR,Air Force,Mountain West,1,-1.153,0,-1.153,-1.153,0,0,-1.153,0,-1.153,0,-1.153,-1.153,0,0,-1.153,0
2023,5091744,Garrett Mmahat,WR,Tulane,American Athletic,1,-1.143,-1.143,0,-1.143,0,0,-1.143,0,-1.143,-1.143,0,-1.143,0,0,-1.143,0
2023,4879196,Gavin Yates,TE,Baylor,Big 12,3,-1.104,-0.21,-2.891,0,-0.21,0,-1.812,0.311,-3.312,-0.421,-2.891,0,-0.421,0,-3.623,0.311
2023,4775203,Minaya Olivo,RB,UCLA,Pac-12,1,-1.066,0,-1.066,-1.066,0,0,-1.066,0,-1.066,0,-1.066,-1.066,0,0,-1.066,0
2023,5054036,Jackson Brousseau,QB,Colorado State,Mountain West,2,-1.057,-1.057,0,-0.783,0,-1.331,-0.783,-1.331,-2.114,-2.114,0,-0.783,0,-1.331,-0.783,-1.331
2023,5085134,Cannon Turner,QB,Air Force,Mountain West,3,-1.021,0,-1.021,-0.401,0,-0.375,-0.401,-1.331,-3.064,0,-3.064,-0.401,0,-0.375,-0.401,-2.663
2023,4569262,Alex Honig,TE,Connecticut,FBS Independents,1,-0.998,-0.998,0,-0.998,0,0,-0.998,0,-0.998,-0.998,0,-0.998,0,0,-0.998,0
2023,4619186,Treylan Davis,TE,West Virginia,Big 12,1,-0.994,-0.994,0,0,-0.994,0,-0.994,0,-0.994,-0.994,0,0,-0.994,0,-0.994,0
2023,4710014,Jay'juan Townsend,WR,South Alabama,Sun Belt,1,-0.957,-0.957,0,0,-0.957,0,0,-0.957,-0.957,-0.957,0,0,-0.957,0,0,-0.957
2023,4360195,Peyton Sawyer,WR,Houston,Big 12,1,-0.921,-0.921,0,-0.921,0,0,-0.921,0,-0.921,-0.921,0,-0.921,0,0,-0.921,0
2023,4432368,Luke MacPhail,QB,Syracuse,ACC,2,-0.918,-0.922,-0.913,-0.918,0,0,-0.918,0,-1.835,-0.922,-0.913,-1.835,0,0,-1.835,0
2023,4426687,Johnathan Bennett,QB,Liberty,Conference USA,4,-0.914,-0.914,0,0,0.123,-1.127,-0.799,-1.256,-3.655,-3.655,0,0,0.123,-1.127,-2.398,-1.256
