,player,player_id,season,team,conference,ATT,COMPLETIONS,INT,PCT,TD,YDS,YPA
304,Bailey Zappe,4250360.0,2021,Western Kentucky,Conference USA,686,475,11,0.692,62,5967,8.7
2393,Joe Burrow,3915511.0,2019,LSU,SEC,527,402,6,0.763,60,5671,10.8
189,Anthony Gordon,4055171.0,2019,Washington State,Pac-12,689,493,16,0.716,48,5575,8.1
444,Brandon Doughty,504866.0,2015,Western Kentucky,Conference USA,540,388,9,0.719,48,5055,9.4
3580,Patrick Mahomes,3139477.0,2016,Texas Tech,Big 12,591,388,10,0.657,41,5052,8.5
3227,Matt Quinn Johnson,513573.0,2015,Bowling Green,Mid-American,569,383,8,0.673,46,4946,8.7
3184,Mason Rudolph,3116407.0,2017,Oklahoma State,Big 12,489,318,9,0.65,37,4904,10.0
3317,Michael Penix Jr.,4360423.0,2023,Washington,Pac-12,556,363,11,0.653,36,4903,8.8
590,Bryce Young,4685720.0,2021,Alabama,SEC,547,366,7,0.669,47,4872,8.9
1598,Gardner Minshew,4038524.0,2018,Washington State,Pac-12,662,468,9,0.707,38,4776,7.2
1455,Dwayne Haskins,4040616.0,2018,Ohio State,Big Ten,531,371,8,0.699,49,4751,8.9
283,Austin Reed,4368343.0,2022,Western Kentucky,Conference USA,602,390,11,0.648,40,4747,7.9
4593,Will Rogers,4566196.0,2021,Mississippi State,SEC,683,505,9,0.739,36,4739,6.9
2216,Jared Goff,547401.0,2015,California,Pac-12,529,341,13,0.645,43,4719,8.9
3579,Patrick Mahomes,3139477.0,2015,Texas Tech,Big 12,573,364,15,0.635,36,4653,8.1
3316,Michael Penix Jr.,4360423.0,2022,Washington,Pac-12,554,362,8,0.653,31,4641,8.4
307,Baker Mayfield,550373.0,2017,Oklahoma,Big 12,404,285,6,0.705,43,4627,11.5
3832,Ryan Higgins,531316.0,2016,Louisiana Tech,Conference USA,496,329,8,0.663,41,4617,9.3
1286,Deshaun Watson,3122840.0,2016,Clemson,ACC,578,387,17,0.67,41,4593,7.9
3041,Luke Falk,550629.0,2015,Washington State,Pac-12,645,448,8,0.695,38,4566,7.1
663,Caleb Williams,4431611.0,2022,USC,Pac-12,499,332,5,0.665,42,4535,9.1
399,Bo Nix,4426338.0,2023,Oregon,Pac-12,470,364,3,0.774,45,4508,9.6
3076,Mac Jones,4241464.0,2020,Alabama,SEC,402,311,4,0.774,41,4500,11.2
3487,Nick Mullens,552880.0,2015,Southern Mississippi,Conference USA,521,331,12,0.635,38,4476,8.6
3042,Luke Falk,550629.0,2016,Washington State,Pac-12,633,443,11,0.7,38,4468,7.1
513,Brennan Armstrong,4370775.0,2021,Virginia,ACC,501,327,10,0.653,31,4444,8.9
614,C.J. Stroud,4432577.0,2021,Ohio State,Big Ten,441,317,6,0.719,44,4435,10.1
3466,Nick Arbuckle,3124848.0,2015,Georgia State,Sun Belt,486,307,12,0.632,28,4368,9.0
2926,Kyler Murray,3917315.0,2018,Oklahoma,Big 12,376,259,7,0.689,42,4364,11.6
3341,Mike White,549804.0,2016,Western Kentucky,Conference USA,416,280,7,0.673,37,4363,10.5
1140,Dane Evans,532273.0,2015,Tulsa,American Athletic,485,305,8,0.629,25,4332,8.9
1404,Drake Maye,4431452.0,2022,North Carolina,ACC,516,342,7,0.663,38,4321,8.4
2801,Kenny Pickett,4240703.0,2021,Pittsburgh,ACC,497,334,7,0.672,42,4319,8.7
1227,Davis Webb,550386.0,2016,California,Pac-12,620,382,12,0.616,37,4295,6.9
2915,Kyle Trask,4034946.0,2020,Florida,SEC,437,301,8,0.689,43,4283,9.8
3746,Riley Ferguson,546539.0,2017,Memphis,American Athletic,474,299,9,0.631,38,4257,9.0
2921,Kyle Vantrease,4239714.0,2022,Georgia Southern,Sun Belt,603,370,16,0.614,27,4246,7.0
3880,Sam Hartman,4361994.0,2021,Wake Forest,ACC,508,299,14,0.589,39,4228,8.3
729,Carson Strong,4361435.0,2021,Nevada,Mountain West,524,367,8,0.7,36,4186,8.0
3342,Mike White,549804.0,2017,Western Kentucky,Conference USA,560,368,8,0.657,26,4177,7.5
3870,Sam Darnold,3912547.0,2017,USC,Pac-12,480,303,13,0.631,26,4143,8.6
965,Cole McDonald,4038220.0,2019,Hawai'i,Mountain West,511,326,14,0.638,33,4138,8.1
3009,Logan Woodside,545910.0,2016,Toledo,Mid-American,418,289,9,0.691,45,4129,9.9
4047,Stetson Bennett,4259553.0,2022,Georgia,SEC,455,310,7,0.681,27,4127,9.1
1285,Deshaun Watson,3122840.0,2015,Clemson,ACC,491,333,13,0.678,35,4104,8.4
2091,Jake Haener,4243322.0,2021,Fresno State,Mountain West,490,329,9,0.671,33,4096,8.4
3183,Mason Rudolph,3116407.0,2016,Oklahoma State,Big 12,448,284,4,0.634,28,4091,9.1
929,Clayton Tune,4360175.0,2022,Houston,American Athletic,497,334,10,0.672,40,4074,8.2
1578,Frank Harris,4245186.0,2022,UT San Antonio,Conference USA,471,328,9,0.696,32,4059,8.6
3172,Mason Fine,4039073.0,2017,North Texas,Conference USA,510,323,15,0.633,31,4044,7.9
757,Chad Kelly,534580.0,2015,Ole Miss,SEC,458,298,13,0.651,31,4042,8.8
3274,McKenzie Milton,4042113.0,2017,UCF,American Athletic,395,265,9,0.671,37,4037,10.2
2332,Jeff Driskel,511889.0,2015,Louisiana Tech,Conference USA,450,281,8,0.624,27,4033,9.0
4470,Tyler Rogers,3124981.0,2017,New Mexico State,Sun Belt,566,348,18,0.615,27,4016,7.1
429,Brady White,3893630.0,2019,Memphis,American Athletic,421,269,11,0.639,33,4014,9.5
518,Brent Stockstill,545683.0,2015,Middle Tennessee,Conference USA,490,327,9,0.667,30,4005,8.2
558,Brock Purdy,4361741.0,2019,Iowa State,Big 12,475,312,9,0.657,27,3982,8.4
2605,Justice Hansen,3116379.0,2017,Arkansas State,Sun Belt,487,305,16,0.626,37,3967,8.1
4391,Tua Tagovailoa,4241479.0,2018,Alabama,SEC,355,245,6,0.69,43,3966,11.2
306,Baker Mayfield,550373.0,2016,Oklahoma,Big 12,358,254,8,0.709,40,3965,11.1
1431,Drew Lock,3924327.0,2017,Missouri,SEC,419,242,13,0.578,44,3964,9.5
4590,Will Rogers,102597.0,2022,Mississippi State,SEC,610,414,8,0.679,35,3963,6.5
3463,Nic Shimonek,545364.0,2017,Texas Tech,Big 12,493,328,10,0.665,33,3963,8.0
4171,Taylor Cornelius,3122424.0,2018,Oklahoma State,Big 12,483,286,13,0.592,32,3950,8.2
725,Carson Beck,4430841.0,2023,Georgia,SEC,417,302,6,0.724,24,3941,9.5
3966,Shane Buechele,4039034.0,2019,SMU,American Athletic,490,307,10,0.627,34,3930,8.0
2585,Josh Love,3921685.0,2019,San José State,Mountain West,480,293,7,0.61,22,3923,8.2
3954,Seth Henigan,4606194.0,2023,Memphis,American Athletic,476,318,9,0.668,32,3883,8.2
3010,Logan Woodside,545910.0,2017,Toledo,Mid-American,411,264,8,0.642,28,3882,9.4
964,Cole McDonald,4038220.0,2018,Hawai'i,Mountain West,484,285,10,0.589,36,3875,8.0
4574,Will Grier,559556.0,2018,West Virginia,Big 12,397,266,8,0.67,37,3864,9.7
3328,Mike Bercovici,517393.0,2015,Arizona State,Pac-12,532,319,9,0.6,30,3860,7.3
4156,Taulia Tagovailoa,4567097.0,2021,Maryland,Big Ten,474,328,11,0.692,26,3860,8.1
2132,Jalen Hurts,4040715.0,2019,Oklahoma,Big 12,341,237,8,0.695,32,3851,11.3
1037,Cooper Rush,531455.0,2015,Central Michigan,Mid-American,489,324,11,0.663,25,3848,7.9
2305,Jayden Daniels,4426348.0,2023,LSU,SEC,327,236,4,0.722,40,3812,11.7
3515,Nick Stevens,546267.0,2017,Colorado State,Mountain West,459,284,10,0.619,29,3799,8.3
1104,Dak Prescott,512030.0,2015,Mississippi State,SEC,477,316,5,0.662,29,3793,8.0
3173,Mason Fine,4039073.0,2018,North Texas,Conference USA,469,303,5,0.646,27,3793,8.1
1217,Davis Brin,4362365.0,2023,Georgia Southern,Sun Belt,552,362,19,0.656,24,3781,6.8
3592,Paxton Lynch,534849.0,2015,Memphis,American Athletic,443,296,4,0.668,28,3776,8.5
3182,Mason Rudolph,3116407.0,2015,Oklahoma State,Big 12,424,264,9,0.623,21,3770,8.9
2418,Joey Aguilar,5151948.0,2023,Appalachian State,Sun Belt,459,292,10,0.636,33,3754,8.2
3372,Mitch Trubisky,545238.0,2016,North Carolina,ACC,446,304,6,0.682,30,3748,8.4
707,Cameron Ward,4688380.0,2023,Washington State,Pac-12,486,324,7,0.667,25,3732,7.7
2591,Josh Rosen,3886377.0,2017,UCLA,Pac-12,451,282,10,0.625,26,3717,8.2
78,Aidan O'Connell,4260394.0,2021,Purdue,Big Ten,440,315,11,0.716,28,3712,8.4
1815,Holton Ahlers,4360131.0,2022,East Carolina,American Athletic,469,315,5,0.672,28,3708,7.9
537,Brett Rypien,3722362.0,2018,Boise State,Mountain West,447,301,7,0.673,30,3705,8.3
1200,David Blough,3116188.0,2018,Purdue,Big Ten,462,305,10,0.66,25,3705,8.0
3881,Sam Hartman,4361994.0,2022,Wake Forest,ACC,429,270,12,0.629,38,3701,8.6
305,Baker Mayfield,550373.0,2015,Oklahoma,Big 12,395,269,7,0.681,36,3700,9.4
890,Chris Robison,4241399.0,2019,Florida Atlantic,Conference USA,472,292,6,0.619,28,3699,7.8
3261,Max Duggan,4427105.0,2022,TCU,Big 12,419,267,8,0.637,32,3698,8.8
3745,Riley Ferguson,546539.0,2016,Memphis,American Athletic,443,280,10,0.632,32,3698,8.3
615,C.J. Stroud,4432577.0,2022,Ohio State,Big Ten,389,258,6,0.663,41,3688,9.5
2311,Jayden de Laura,4697623.0,2022,Arizona,Pac-12,435,272,13,0.625,25,3685,8.5
2528,Jordan McCloud,4360890.0,2023,James Madison,Sun Belt,413,282,10,0.683,35,3670,8.9
2589,Josh Rosen,3886377.0,2015,UCLA,Pac-12,487,292,11,0.6,23,3670,7.5
4354,Trevor Lawrence,4360310.0,2019,Clemson,ACC,407,268,8,0.658,36,3665,9.0
4039,Stephen Calvert,4029885.0,2019,Liberty,FBS Independents,431,249,7,0.578,28,3663,8.5
3873,Sam Ehlinger,4241820.0,2019,Texas,Big 12,454,296,10,0.652,32,3663,8.1
1348,Dillon Gabriel,4427238.0,2023,Oklahoma,Big 12,384,266,6,0.693,30,3660,9.5
2937,Lamar Jackson,3916387.0,2017,Louisville,ACC,430,254,10,0.591,27,3660,8.5
1344,Dillon Gabriel,4427238.0,2019,UCF,American Athletic,399,236,7,0.591,29,3653,9.2
4667,Zach Wilson,4361259.0,2020,BYU,FBS Independents,333,244,3,0.733,32,3651,11.0
535,Brett Rypien,3722362.0,2016,Boise State,Mountain West,394,244,8,0.619,24,3646,9.3
3885,Sam Howell,4426875.0,2019,North Carolina,ACC,422,259,7,0.614,38,3641,8.6
664,Caleb Williams,4431611.0,2023,USC,Pac-12,388,266,5,0.686,30,3633,9.4
3147,Marcus McMaryion,3127332.0,2018,Fresno State,Mountain West,427,293,5,0.686,25,3628,8.5
2993,Logan Bonner,4036473.0,2021,Utah State,Mountain West,430,263,12,0.612,36,3628,8.4
2692,Kaleb Barker,4039910.0,2019,Troy,Sun Belt,460,299,10,0.65,30,3628,7.9
4132,Tanner Mordecai,4360271.0,2021,SMU,American Athletic,454,308,12,0.678,39,3628,8.0
4310,Trace McSorley,3116172.0,2016,Penn State,Big Ten,387,224,8,0.579,29,3614,9.3
3823,Ryan Finley,546288.0,2018,NC State,ACC,447,300,10,0.671,21,3612,8.1
1405,Drake Maye,4431452.0,2023,North Carolina,ACC,425,269,9,0.633,24,3608,8.5
