pff_ team_name,epa_team_name,P5?
AIR FORCE,Air Force,0
AKRON,Akron,0
ALABAMA,Alabama,1
APP STATE,Appalachian State,0
ARIZONA,Arizona,1
ARIZONA ST,Arizona State,1
ARK STATE,Arkansas State,0
ARKANSAS,Arkansas,1
ARMY,Army,0
AUBURN,Auburn,1
BALL ST,Ball State,0
BAYLOR,Baylor,1
BOISE ST,Boise State,0
BOSTON COL,Boston College,1
BOWL GREEN,Bowling Green,0
BUFFALO,Buffalo,0
BYU,BYU,1
C MICHIGAN,Central Michigan,0
CAL,California,1
CHARLOTTE,Charlotte,0
CINCINNATI,Cincinnati,1
CLEMSON,Clemson,1
COAST CAR,Coastal Carolina,0
COLO STATE,Colorado State,0
COLORADO,Colorado,1
DOMINION,Old Dominion,0
DUKE,Duke,1
E CAROLINA,East Carolina,0
E MICHIGAN,Eastern Michigan,0
FAU,Florida Atlantic,0
FIU,Florida International,0
FLORIDA,Florida,1
FLORIDA ST,Florida State,1
FRESNO ST,Fresno State,0
GA SOUTHRN,Georgia Southern,0
GA STATE,Georgia State,0
GA TECH,Georgia Tech,1
GEORGIA,Georgia,1
HAWAII,Hawaii,0
HOUSTON,Houston,1
IDAHO,,0
ILLINOIS,Illinois,1
INDIANA,Indiana,1
IOWA,Iowa,1
IOWA STATE,Iowa State,1
JAMES MAD,James Madison,0
JVILLE ST,Jacksonville State,0
KANSAS,Kansas,1
KANSAS ST,Kansas State,1
KENT STATE,Kent State,0
KENTUCKY,Kentucky,1
LA LAFAYET,Louisiana,0
LA MONROE,Louisiana Monroe,0
LA TECH,Louisiana Tech,0
LIBERTY,Liberty,0
LOUISVILLE,Louisville,1
LSU,LSU,1
MARSHALL,Marshall,0
MARYLAND,Maryland,1
MEMPHIS,Memphis,0
MIAMI FL,Miami,1
MIAMI OH,Miami (OH),0
MICH STATE,Michigan State,1
MICHIGAN,Michigan,1
MIDDLE TN,Middle Tennessee,0
MINNESOTA,Minnesota,1
MISS STATE,Mississippi State,1
MISSOURI,Missouri,1
N CAROLINA,North Carolina,1
N ILLINOIS,Northern Illinois,0
N TEXAS,North Texas,0
NAVY,Navy,0
NC STATE,NC State,1
NEBRASKA,Nebraska,1
NEVADA,Nevada,0
NEW MEX ST,New Mexico State,0
NEW MEXICO,New Mexico,0
NOTRE DAME,Notre Dame,1
NWESTERN,Northwestern,1
OHIO,Ohio,0
OHIO STATE,Ohio State,1
OKLA STATE,Oklahoma State,1
OKLAHOMA,Oklahoma,1
OLE MISS,Ole Miss,1
OREGON,Oregon,1
OREGON ST,Oregon State,0
PENN STATE,Penn State,1
PITTSBURGH,Pittsburgh,1
PURDUE,Purdue,1
RICE,Rice,0
RUTGERS,Rutgers,1
S ALABAMA,South Alabama,0
S CAROLINA,South Carolina,0
S DIEGO ST,San Diego State,0
S JOSE ST,San José State,0
SM HOUSTON,Sam Houston State,0
SMU,SMU,0
SO MISS,Southern Mississippi,0
STANFORD,Stanford,1
SYRACUSE,Syracuse,1
TCU,TCU,1
TEMPLE,Temple,0
TENNESSEE,Tennessee,1
TEXAS,Texas,1
TEXAS A&M,Texas A&M,1
TEXAS ST,Texas State,0
TEXAS TECH,Texas Tech,1
TOLEDO,Toledo,0
TROY,Troy,0
TULANE,Tulane,0
TULSA,Tulsa,0
UAB,UAB,0
UCF,UCF,1
UCLA,UCLA,1
UCONN,Connecticut,0
UMASS,UMass,0
UNLV,UNLV,0
USC,USC,1
USF,South Florida,0
UTAH,Utah,1
UTAH ST,Utah State,0
UTEP,UTEP,0
UTSA,UT San Antonio,0
VA TECH,Virginia Tech,1
VANDERBILT,Vanderbilt,1
VIRGINIA,Virginia,1
W KENTUCKY,Western Kentucky,0
W MICHIGAN,Western Michigan,0
W VIRGINIA,West Virginia,1
WAKE,Wake Forest,1
WASH STATE,Washington State,0
WASHINGTON,Washington,1
WISCONSIN,Wisconsin,1
WYOMING,Wyoming,0
