,player_name,pos,season,completions_y_pred_gbf,attempts_y_pred_gbf,passing_yards_y_pred_gbf,passing_tds_y_pred_gbf,interceptions_y_pred_gbf,sacks_y_pred_gbf,sack_yards_y_pred_gbf,sack_fumbles_y_pred_gbf,sack_fumbles_lost_y_pred_gbf,passing_air_yards_y_pred_gbf,passing_yards_after_catch_y_pred_gbf,passing_first_downs_y_pred_gbf,passing_epa_y_pred_gbf,passing_2pt_conversions_y_pred_gbf,pacr_y_pred_gbf,dakota_y_pred_gbf,carries_y_pred_gbf,rushing_yards_y_pred_gbf,rushing_tds_y_pred_gbf,rushing_fumbles_y_pred_gbf,rushing_fumbles_lost_y_pred_gbf,rushing_first_downs_y_pred_gbf,rushing_epa_y_pred_gbf,rushing_2pt_conversions_y_pred_gbf,receptions_y_pred_gbf,targets_y_pred_gbf,receiving_yards_y_pred_gbf,receiving_tds_y_pred_gbf,receiving_fumbles_y_pred_gbf,receiving_fumbles_lost_y_pred_gbf,receiving_air_yards_y_pred_gbf,receiving_yards_after_catch_y_pred_gbf,receiving_first_downs_y_pred_gbf,receiving_epa_y_pred_gbf,receiving_2pt_conversions_y_pred_gbf,racr_y_pred_gbf,target_share_y_pred_gbf,air_yards_share_y_pred_gbf,wopr_x_y_pred_gbf,special_teams_tds_y_pred_gbf,fantasy_points_y_pred_gbf,fantasy_points_ppr_y_pred_gbf,games_y_pred_gbf,tgt_sh_y_pred_gbf,ay_sh_y_pred_gbf,yac_sh_y_pred_gbf,wopr_y_y_pred_gbf,ry_sh_y_pred_gbf,rtd_sh_y_pred_gbf,rfd_sh_y_pred_gbf,rtdfd_sh_y_pred_gbf,dom_y_pred_gbf,w8dom_y_pred_gbf,yptmpa_y_pred_gbf,ppr_sh_y_pred_gbf,fantasy_points_proj,fantasy_points_proj/G,fantasy_points_proj/G_rank,fantasy_points_proj_rank
0,Aaron Rodgers,QB,2024.0,178.26,271.95,2358.46,19.24,8.6,13.74,102.28,2.4,0.76,2141.51,933.93,77.15,-9.93,0.59,13.22,0.74,20.97,34.31,0.94,0.49,-0.0,5.1,4.84,0.06,0.14,0.18,0.68,0.0,0.0,0.0,-0.76,0.75,0.0,-0.14,0.0,0.0,0.01,-0.0,0.0,0.0,150.15,162.54,9.44,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,163.54,17.33,48.0,84.0
1,Joe Flacco,QB,2024.0,48.28,61.71,753.81,3.45,1.91,4.6,36.31,1.52,0.31,586.0,250.36,21.47,3.88,0.22,2.8,0.23,5.79,16.21,0.2,0.1,-0.03,1.06,-1.05,0.0,0.01,-0.0,0.09,0.0,0.0,0.0,-0.01,-0.02,0.0,-0.09,0.0,0.0,-0.0,-0.0,0.0,0.0,25.57,26.39,3.26,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.1,42.01,12.89,110.0,306.0
2,Matthew Stafford,QB,2024.0,348.2,500.88,3532.07,23.28,8.78,28.88,203.56,5.71,1.77,3532.36,1950.23,194.03,2.7,0.73,12.72,1.37,26.48,53.35,0.85,1.8,0.31,6.68,-3.79,0.03,-0.0,0.02,-0.04,0.0,0.0,0.0,-0.01,0.11,0.0,0.03,0.0,0.0,-0.0,-0.0,0.0,0.0,224.84,220.39,14.78,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.18,222.56,15.06,76.0,34.0
3,Brian Hoyer,QB,2024.0,24.68,45.56,233.37,2.01,1.19,2.61,20.13,0.27,0.09,406.4,118.72,13.72,-5.38,0.16,1.96,0.04,5.27,3.45,-0.09,0.15,-0.03,1.04,-0.33,0.0,0.14,0.11,0.79,0.0,0.0,0.0,-0.01,0.36,0.0,0.01,0.0,0.0,0.0,-0.0,0.01,0.0,11.09,14.61,3.07,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,15.28,4.97,369.5,480.5
4,Blaine Gabbert,QB,2024.0,73.96,72.72,403.06,2.35,1.19,3.04,21.48,0.19,0.21,263.79,154.88,25.78,-6.72,0.1,2.41,0.03,4.91,8.15,-0.09,0.17,-0.03,1.3,0.22,0.01,0.14,0.11,0.91,0.0,0.0,0.0,-0.01,1.57,0.0,0.01,0.0,0.0,0.01,-0.0,0.01,0.0,15.2,20.82,3.24,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,23.85,7.36,243.0,413.0
5,Andy Dalton,QB,2024.0,62.57,100.57,478.85,3.55,3.85,7.19,88.59,0.71,0.81,968.59,280.16,33.57,-8.14,0.21,3.57,0.22,8.51,31.29,0.3,1.0,0.04,2.65,1.74,-0.0,0.01,0.03,-0.02,0.0,0.0,0.0,-0.01,-0.02,0.0,0.01,0.0,0.0,0.0,-0.0,0.0,0.0,31.48,36.32,5.06,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.06,29.74,5.88,312.0,373.0
6,Tyrod Taylor,QB,2024.0,79.73,105.22,631.35,3.49,2.97,5.53,39.99,0.96,0.19,830.86,309.68,32.41,-6.11,0.3,3.66,0.33,18.63,89.82,0.46,0.67,0.01,6.3,3.47,-0.0,-0.0,0.01,-0.02,0.0,0.0,0.0,-0.16,-0.02,0.0,0.03,0.0,0.0,0.0,-0.0,0.0,0.0,44.74,47.19,4.62,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.13,46.89,10.15,159.0,276.0
7,Case Keenum,QB,2024.0,35.63,60.36,249.09,2.57,1.51,4.85,30.56,0.34,0.4,643.23,172.66,15.34,-8.19,0.17,2.19,0.1,4.84,11.62,0.03,0.37,-0.02,4.58,-2.32,0.0,0.01,-0.0,0.08,0.0,0.0,0.0,-0.01,-0.01,0.0,-0.01,0.0,0.0,-0.0,-0.0,0.0,0.0,21.84,24.05,2.22,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.06,20.07,9.04,187.0,436.0
8,Russell Wilson,QB,2024.0,188.63,289.9,2021.5,19.57,4.17,21.88,131.71,2.02,0.43,2331.52,888.31,109.09,-23.47,0.55,8.43,0.8,25.14,66.84,0.55,2.29,0.06,6.67,1.08,0.03,0.38,0.43,-3.06,0.0,0.0,0.0,-0.36,-0.12,0.0,-0.59,0.0,0.0,0.01,-0.0,0.02,0.0,143.84,148.44,8.33,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.16,160.39,19.26,32.0,89.0
9,Kirk Cousins,QB,2024.0,357.97,552.17,4007.81,25.91,8.89,30.23,212.1,2.63,1.65,4522.64,1739.83,178.06,2.92,2.29,15.57,1.69,27.69,41.14,1.26,1.25,0.32,6.4,-1.99,-0.0,0.05,0.36,-0.0,0.0,0.0,0.0,-0.11,0.38,0.0,-0.41,0.0,0.0,0.01,-0.0,0.02,0.0,266.92,252.04,16.36,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.2,259.78,15.87,69.0,14.0
10,Ryan Tannehill,QB,2024.0,93.07,162.85,882.99,6.54,4.97,13.46,91.1,1.64,1.71,1419.73,443.05,50.16,4.22,0.72,8.09,0.44,19.27,104.18,0.24,0.76,0.14,11.98,-0.31,0.06,0.07,0.31,-0.08,0.0,0.0,0.0,-0.78,0.27,0.0,-0.1,0.0,0.0,0.0,-0.0,0.0,0.0,77.55,82.51,5.04,0.0,-0.0,0.0,0.01,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.11,66.75,13.23,101.5,221.0
11,Geno Smith,QB,2024.0,219.43,333.1,2788.42,27.75,6.63,21.63,153.02,1.51,1.07,3149.08,1049.34,133.43,11.63,0.34,13.69,2.38,29.27,104.11,1.11,1.53,0.17,8.53,-2.48,-0.01,0.13,0.46,-4.1,0.0,0.0,0.0,4.86,-0.08,0.0,-0.68,0.0,0.0,0.02,0.01,0.04,0.0,165.09,155.85,10.09,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.18,226.65,22.47,16.0,30.0
12,Teddy Bridgewater,QB,2024.0,52.84,65.26,496.35,2.25,3.1,6.47,40.84,0.73,0.33,440.95,257.11,25.2,-4.64,0.27,3.15,0.13,13.6,36.02,0.69,0.51,0.09,4.65,2.04,-0.0,0.03,0.14,0.75,0.0,0.0,0.0,-0.01,0.35,0.0,0.03,0.0,0.0,0.0,-0.0,0.0,0.0,36.27,36.35,4.49,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,31.66,7.05,253.0,359.0
13,Derek Carr,QB,2024.0,324.66,502.95,3722.14,21.08,8.38,29.15,223.82,7.4,2.39,3773.45,1698.49,173.86,47.72,0.81,15.41,1.28,21.38,61.18,0.23,0.64,0.4,8.46,-5.33,0.07,0.07,0.27,1.18,0.0,0.0,0.0,-0.01,1.31,0.0,-0.03,0.0,0.0,0.0,-0.0,0.01,0.0,211.59,205.59,13.45,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,219.26,16.3,65.0,38.0
14,Jimmy Garoppolo,QB,2024.0,153.64,146.01,1139.47,11.41,3.59,10.9,74.51,1.54,0.52,1505.37,640.57,82.93,1.67,0.27,6.53,0.32,14.22,12.41,0.07,0.53,0.15,5.57,-4.59,0.01,0.02,0.09,-0.23,0.0,0.0,0.0,-0.01,0.31,0.0,0.01,0.0,0.0,0.0,-0.0,0.0,0.0,78.82,108.02,7.87,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.14,86.27,10.96,140.0,180.0
15,Jameis Winston,QB,2024.0,43.23,64.1,266.65,1.69,1.31,3.62,22.17,0.55,0.38,287.41,134.21,17.92,-6.34,0.15,2.32,0.29,10.31,34.78,0.19,0.4,0.11,3.67,3.26,-0.0,-0.0,-0.0,-0.04,0.0,0.0,0.0,-0.01,-0.01,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,15.39,15.75,4.28,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.09,20.11,4.7,387.5,435.0
16,Taylor Heinicke,QB,2024.0,121.63,222.79,1320.85,7.81,2.93,15.61,100.51,1.05,0.5,1356.28,507.61,57.96,4.81,0.29,4.95,0.35,23.41,126.76,0.39,0.91,0.18,8.65,3.29,0.15,0.0,0.01,-0.09,0.0,0.0,0.0,-1.14,0.23,0.0,-0.09,0.0,0.0,-0.0,-0.0,0.0,0.0,72.22,74.66,8.91,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.13,95.81,10.75,148.0,162.0
17,Trevor Siemian,QB,2024.0,47.49,52.0,422.96,3.3,1.28,5.91,30.99,0.63,0.96,478.54,189.56,20.54,-12.96,0.09,2.31,0.17,3.49,15.45,-0.07,0.05,0.03,1.86,-1.92,-0.0,0.01,0.07,0.07,0.0,0.0,0.0,-0.01,0.02,0.0,-0.01,0.0,0.0,0.0,-0.0,0.01,0.0,33.35,32.85,2.68,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.08,28.16,10.51,151.0,383.0
