,index,season,cfb_id,player_name,pos,school,completions_y_pred_gbf,attempts_y_pred_gbf,passing_yards_y_pred_gbf,passing_tds_y_pred_gbf,interceptions_y_pred_gbf,sacks_y_pred_gbf,sack_yards_y_pred_gbf,sack_fumbles_y_pred_gbf,sack_fumbles_lost_y_pred_gbf,passing_air_yards_y_pred_gbf,passing_yards_after_catch_y_pred_gbf,passing_first_downs_y_pred_gbf,passing_epa_y_pred_gbf,passing_2pt_conversions_y_pred_gbf,pacr_y_pred_gbf,dakota_y_pred_gbf,carries_y_pred_gbf,rushing_yards_y_pred_gbf,rushing_tds_y_pred_gbf,rushing_fumbles_y_pred_gbf,rushing_fumbles_lost_y_pred_gbf,rushing_first_downs_y_pred_gbf,rushing_epa_y_pred_gbf,rushing_2pt_conversions_y_pred_gbf,receptions_y_pred_gbf,targets_y_pred_gbf,receiving_yards_y_pred_gbf,receiving_tds_y_pred_gbf,receiving_fumbles_y_pred_gbf,receiving_fumbles_lost_y_pred_gbf,receiving_air_yards_y_pred_gbf,receiving_yards_after_catch_y_pred_gbf,receiving_first_downs_y_pred_gbf,receiving_epa_y_pred_gbf,receiving_2pt_conversions_y_pred_gbf,racr_y_pred_gbf,target_share_y_pred_gbf,air_yards_share_y_pred_gbf,wopr_x_y_pred_gbf,special_teams_tds_y_pred_gbf,fantasy_points_y_pred_gbf,fantasy_points_ppr_y_pred_gbf,games_y_pred_gbf,tgt_sh_y_pred_gbf,ay_sh_y_pred_gbf,yac_sh_y_pred_gbf,wopr_y_y_pred_gbf,ry_sh_y_pred_gbf,rtd_sh_y_pred_gbf,rfd_sh_y_pred_gbf,rtdfd_sh_y_pred_gbf,dom_y_pred_gbf,w8dom_y_pred_gbf,yptmpa_y_pred_gbf,ppr_sh_y_pred_gbf,tackles_y_pred_gbf,assisted_tackles_y_pred_gbf,tackles_for_loss_y_pred_gbf,stops_y_pred_gbf,missed_tackle_rate_y_pred_gbf,missed_tackles_y_pred_gbf,forced_fumbles_y_pred_gbf,fumble_recoveries_y_pred_gbf,fumble_recovery_touchdowns_y_pred_gbf,total_defensive_pressures_y_pred_gbf,pass_rushing_hurries_y_pred_gbf,hits_y_pred_gbf,defensive_sacks_y_pred_gbf,safeties_y_pred_gbf,defensive_interceptions_y_pred_gbf,defensive_interception_touchdowns_y_pred_gbf,pass_break_ups_y_pred_gbf,coverage_targets_y_pred_gbf,allowed_recpetions_y_pred_gbf,allowed_passing_yards_y_pred_gbf,allowed_passing_touchdowns_y_pred_gbf,scrimage_yards_pred,touch_pred,proj_ff_pts,proj_ff_pts_per_game
18,18.0,2015.0,0,Bryan Bennett,QB,SE Louisiana,0.24,0.14,-9.25,-0.03,-0.01,0.0,-0.85,0.02,-0.01,-11.94,-0.34,-0.12,0.78,0.0,-0.07,-0.0,-0.22,-0.3,-0.01,-0.02,-0.0,-0.12,-0.1,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.74,-1.28,0.19,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.22,-0.6100000000000001,-3.2105263157894743
36,186.0,2015.0,0,Jerry Lovelocke,QB,Prairie View,-0.89,-2.36,0.96,-0.11,-0.1,-0.32,-2.46,-0.07,-0.03,-5.53,-7.43,-1.06,1.44,-0.0,-0.11,-0.0,-0.13,-1.03,-0.02,-0.03,0.0,-0.09,-0.06,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.65,0.02,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.03,-0.13,-0.3396,-16.98
80,611.0,2016.0,0,Carson Wentz,QB,North Dakota State,3.97,5.86,58.1,0.43,0.26,0.44,5.66,0.04,0.05,77.28,18.23,2.29,-1.87,0.01,0.34,0.03,1.49,7.14,0.06,0.05,0.04,0.48,-0.14,0.01,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38,3.69,0.3,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,1.49,4.698000000000001,15.660000000000005
81,622.0,2016.0,0,Josh Woodrum,QB,Liberty,-1.52,-0.12,-3.13,-0.0,-0.04,-0.19,-0.93,-0.05,0.01,-10.74,-2.73,0.07,0.47,-0.0,0.02,0.0,0.15,0.8,0.0,-0.01,0.0,0.08,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,-0.38,0.12,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.15,0.12480000000000001,1.04
130,1115.0,2018.0,0,Kyle Lauletta,QB,Richmond,1.36,3.22,54.95,0.26,0.1,0.22,2.24,-0.03,-0.0,37.49,18.06,2.22,-1.06,-0.0,0.24,-0.0,1.09,1.05,-0.01,0.0,-0.0,0.17,-0.09,0.01,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21,0.76,0.22,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.09,3.2179999999999995,14.627272727272725
155,1248.0,2018.0,0,Mike White,QB,Western Kentucky,0.8,1.36,14.23,0.08,-0.01,0.23,0.82,0.05,0.03,19.01,5.19,0.17,0.14,0.0,0.09,0.0,0.05,1.48,0.0,0.0,-0.0,0.07,-0.1,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.86,0.71,0.08,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.05,1.0122,12.6525
168,1515.0,2019.0,0,Easton Stick,QB,North Dakota State,1.64,1.78,22.84,0.07,0.01,0.26,1.43,0.1,0.04,26.58,4.2,0.73,-1.11,-0.0,0.07,-0.0,0.29,1.73,0.01,0.02,0.0,0.08,-0.02,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.1,0.06,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.29,1.2866,21.443333333333335
173,1621.0,2020.0,0,Kevin Davidson,QB,Princeton,-0.92,-0.9,-0.4,-0.13,0.05,-0.23,-1.2,-0.03,-0.04,4.39,-1.39,-0.75,0.62,-0.0,-0.04,-0.0,0.55,3.21,-0.02,-0.01,-0.0,0.04,-0.06,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.16,0.12,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,0.55,-0.3349999999999999,-2.791666666666666
191,2408.0,2022.0,0,Cole Kelley,QB,Southeastern Louisiana,-1.52,-3.88,-20.15,-0.22,-0.15,-0.46,-4.34,-0.1,-0.06,-26.32,-13.73,-1.65,1.35,-0.0,-0.17,-0.0,-0.39,-4.77,-0.02,-0.07,-0.01,-0.28,-0.09,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.69,-1.82,-0.12,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.77,-0.39,-1.883,15.691666666666666
195,2465.0,2022.0,0,EJ Perry,QB,Brown,0.26,0.71,-2.89,0.04,0.01,0.14,-0.26,-0.01,0.01,7.17,2.51,-0.45,-0.8,0.0,0.0,0.0,0.09,-1.64,0.01,0.06,0.0,-0.04,0.02,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.54,-0.5,0.07,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.64,0.09,-0.15960000000000002,-2.2800000000000002
